index;Alloy name;Al;Co;Fe;Ni;Si;Cr;Mn;Nb;Mo;Ti;Cu;V;Zr;Ta;Hf;W;PROPERTY: Microstructure;PROPERTY: Processing method;PROPERTY: Calculated Density (g/cm$^3$);PROPERTY: Type of test;PROPERTY: YS (MPa);Smix;am;Tm;Xm;rm;dX;da;dT;dr
187;Al0.5 Mo0.5 Nb1 Ta0.5 Ti1 Zr1;0.111;;;;;;;0.222;0.111;0.222;;;0.222;0.111;;;BCC B2;OTHER;7.6;C;2350;14.4127878;3.26784;2303.472;1.57953;1.85148;0.234713792;0.301802843;658.933124;0.140776169
188;Al1 Mo0.5 Nb1 Ta0.5 Ti1 Zr1;0.2;;;;;;;0.2;0.1;0.2;;;0.2;0.1;;;BCC B2;OTHER;7.1;C;2197;14.52643967;3.348;2168.5;1.584;1.786;0.222943939;0.367771668;748.8435417;0.178824552
189;Al1 Nb1 Ta0.5 Ti1 Zr0.5;0.25;;;;;;;0.25;;0.25;;;0.125;0.125;;;OTHER;OTHER;6.9;C;1352;12.96011941;3.38875;2082.625;1.54125;1.7375;0.088520831;0.400326039;791.9733167;0.194447004
190;Hf1 Nb1 Si0.5 Ti1 V1 Zr1;;;;;0.091;;;0.182;;0.182;;0.182;0.182;;0.182;;BCC ++;ANNEAL;7.5;C;1483;14.69647378;3.35153;2242.877;1.5197;1.84639;0.17876856;0.670225419;325.5569307;0.14889144
191;Hf1 Nb1 Si0.5 Ti1 V1 Zr1;;;;;0.091;;;0.182;;0.182;;0.182;0.182;;0.182;;BCC ++;CAST;7.5;C;1540;14.69647378;3.35153;2242.877;1.5197;1.84639;0.17876856;0.670225419;325.5569307;0.14889144
192;Hf1 Nb1 Ta1 Ti1 Zr1;;;;;;;;0.2;;0.2;;;0.2;0.2;0.2;;BCC;OTHER;9.9;T;1900;13.37442905;3.194;2522.4;1.454;1.976;0.118253964;0.129089117;475.6740901;0.057754424
193;Hf1 Nb1 Ta1 Ti1 Zr1;;;;;;;;0.2;;0.2;;;0.2;0.2;0.2;;BCC ++;OTHER;9.9;T;1520;13.37442905;3.194;2522.4;1.454;1.976;0.118253964;0.129089117;475.6740901;0.057754424
194;Hf1 Nb1 Ta1 Ti1 Zr1;;;;;;;;0.2;;0.2;;;0.2;0.2;0.2;;BCC ++;OTHER;9.9;T;795;13.37442905;3.194;2522.4;1.454;1.976;0.118253964;0.129089117;475.6740901;0.057754424
195;Hf1 Nb1 Ta1 Ti1 Zr1;;;;;;;;0.2;;0.2;;;0.2;0.2;0.2;;BCC;WROUGHT;9.9;T;830;13.37442905;3.194;2522.4;1.454;1.976;0.118253964;0.129089117;475.6740901;0.057754424
196;Hf1 Nb1 Ta1 Ti1 Zr1;;;;;;;;0.2;;0.2;;;0.2;0.2;0.2;;BCC;WROUGHT;9.9;T;1202;13.37442905;3.194;2522.4;1.454;1.976;0.118253964;0.129089117;475.6740901;0.057754424
197;Hf1 Nb1 Ta1 Ti1 Zr1;;;;;;;;0.2;;0.2;;;0.2;0.2;0.2;;BCC ++;WROUGHT;9.9;T;1303;13.37442905;3.194;2522.4;1.454;1.976;0.118253964;0.129089117;475.6740901;0.057754424
198;Hf1 Nb1 Ta1 Ti1 Zr1;;;;;;;;0.2;;0.2;;;0.2;0.2;0.2;;BCC;WROUGHT;9.9;T;1145;13.37442905;3.194;2522.4;1.454;1.976;0.118253964;0.129089117;475.6740901;0.057754424
199;Hf1 Nb1 Ta1 Ti1 Zr1;;;;;;;;0.2;;0.2;;;0.2;0.2;0.2;;BCC;WROUGHT;9.9;T;958;13.37442905;3.194;2522.4;1.454;1.976;0.118253964;0.129089117;475.6740901;0.057754424
200;Hf1 Nb1 Ta1 Ti1 Zr1;;;;;;;;0.2;;0.2;;;0.2;0.2;0.2;;BCC;WROUGHT;9.9;T;944;13.37442905;3.194;2522.4;1.454;1.976;0.118253964;0.129089117;475.6740901;0.057754424
201;Hf1 Nb1 Ta1 Ti1 Zr1;;;;;;;;0.2;;0.2;;;0.2;0.2;0.2;;BCC;WROUGHT;9.9;T;940;13.37442905;3.194;2522.4;1.454;1.976;0.118253964;0.129089117;475.6740901;0.057754424
202;Hf1 Nb1 Ta1 Ti1 Zr1;;;;;;;;0.2;;0.2;;;0.2;0.2;0.2;;BCC;WROUGHT;9.9;T;940;13.37442905;3.194;2522.4;1.454;1.976;0.118253964;0.129089117;475.6740901;0.057754424
203;Hf1 Nb1 Ta1 Ti1 Zr1;;;;;;;;0.2;;0.2;;;0.2;0.2;0.2;;BCC;CAST;9.9;C;905;13.37442905;3.194;2522.4;1.454;1.976;0.118253964;0.129089117;475.6740901;0.057754424
204;Hf1 Nb1 Ta1 Ti1 Zr1;;;;;;;;0.2;;0.2;;;0.2;0.2;0.2;;BCC;CAST;9.9;C;890;13.37442905;3.194;2522.4;1.454;1.976;0.118253964;0.129089117;475.6740901;0.057754424
205;Hf1 Nb1 Ta1 Ti1 Zr1;;;;;;;;0.2;;0.2;;;0.2;0.2;0.2;;BCC;CAST;9.9;T;828;13.37442905;3.194;2522.4;1.454;1.976;0.118253964;0.129089117;475.6740901;0.057754424
206;Hf1 Nb1 Ta1 Ti1 Zr1;;;;;;;;0.2;;0.2;;;0.2;0.2;0.2;;BCC;CAST;9.9;T;827;13.37442905;3.194;2522.4;1.454;1.976;0.118253964;0.129089117;475.6740901;0.057754424
207;Hf1 Nb1 Ta1 Ti1 Zr1;;;;;;;;0.2;;0.2;;;0.2;0.2;0.2;;BCC;CAST;9.9;T;820;13.37442905;3.194;2522.4;1.454;1.976;0.118253964;0.129089117;475.6740901;0.057754424
208;Hf1 Nb1 Ta1 Ti1 Zr1;;;;;;;;0.2;;0.2;;;0.2;0.2;0.2;;BCC;CAST;9.9;T;803;13.37442905;3.194;2522.4;1.454;1.976;0.118253964;0.129089117;475.6740901;0.057754424
209;Al0.2 Mo1 Ta1 Ti1 V1;0.048;;;;;;;;0.238;0.238;;0.238;;0.238;;;BCC;CAST;9.3;C;1021;12.56751174;3.14988;2495.47;1.70758;1.8107;0.268226665;0.237374779;636.5301196;0.099631738
210;Al0.6 Mo1 Ta1 Ti1 V1;0.13;;;;;;;;0.217;0.217;;0.217;;0.217;;;BCC;CAST;8.7;C;962;13.22461201;3.22034;2355.739;1.69575;1.75269;0.257602604;0.337399029;749.5188619;0.140944503
211;Mo1 Ta1 Ti1 V1;;;;;;;;;0.25;0.25;;0.25;;0.25;;;BCC;CAST;9.6;C;1221;11.52010614;3.105;2574.25;1.7125;1.8425;0.27398677;0.131244047;544.3360061;0.062163968
212;Hf1 Nb1 Ta1 Zr1;;;;;;;;0.25;;;;;0.25;0.25;0.25;;BCC ++;ANNEAL;11.1;C;2310;11.52010614;3.255;2666.75;1.4325;2.03;0.123161479;0.047169906;422.6673485;0.020310865
213;Hf1 Nb1 Ta1 Zr1;;;;;;;;0.25;;;;;0.25;0.25;0.25;;BCC ++;ANNEAL;11.1;C;2100;11.52010614;3.255;2666.75;1.4325;2.03;0.123161479;0.047169906;422.6673485;0.020310865
214;Hf1 Nb1 Ta1 Zr1;;;;;;;;0.25;;;;;0.25;0.25;0.25;;BCC ++;ANNEAL;11.1;C;2020;11.52010614;3.255;2666.75;1.4325;2.03;0.123161479;0.047169906;422.6673485;0.020310865
215;Hf1 Nb1 Ta1 Zr1;;;;;;;;0.25;;;;;0.25;0.25;0.25;;BCC ++;ANNEAL;11.1;C;1950;11.52010614;3.255;2666.75;1.4325;2.03;0.123161479;0.047169906;422.6673485;0.020310865
216;Hf1 Nb1 Ta1 Zr1;;;;;;;;0.25;;;;;0.25;0.25;0.25;;BCC;CAST;11.1;C;1315;11.52010614;3.255;2666.75;1.4325;2.03;0.123161479;0.047169906;422.6673485;0.020310865
217;Hf1 Ta0.4 Ti1 Zr1;;;;;;;;;;0.294;;;0.294;0.118;0.294;;BCC ++;CAST;9.2;T;400;11.06806522;3.14418;2322.212;1.40298;1.9706;0.10636785;0.129356591;416.9467101;0.069966965
218;Hf1 Ta0.5 Ti1 Zr1;;;;;;;;;;0.286;;;0.286;0.143;0.286;;BCC ++;CAST;9.4;T;700;11.23624416;3.15172;2351.921;1.40712;1.9734;0.106142792;0.130205148;441.539465;0.068961936
219;Hf1 Ta0.6 Ti1 Zr1;;;;;;;;;;0.278;;;0.278;0.167;0.278;;BCC ++;CAST;9.6;T;800;11.35579831;3.15596;2378.337;1.40976;1.9742;0.105797758;0.130780587;462.307835;0.068005178
220;Hf1 Ta1 Ti1 Zr1;;;;;;;;;;0.25;;;0.25;0.25;0.25;;BCC;CAST;10.2;T;1500;11.52010614;3.1675;2467.5;1.4175;1.975;0.10401322;0.131600722;517.4574862;0.064594181
221;Mo1 Nb1 Ta1 Ti0.25 W1;;;;;;;;0.235;0.235;0.059;;;;0.235;;0.235;BCC;CAST;13.1;C;1109;12.6998608;3.20555;3081.865;1.88626;1.93919;0.366619197;0.097689031;458.62664;0.030662696
222;Mo1 Nb1 Ta1 Ti0.5 W1;;;;;;;;0.222;0.222;0.111;;;;0.222;;0.222;BCC;CAST;12.6;C;1211;13.13405602;3.19125;3018.867;1.86702;1.92918;0.365105678;0.111853748;516.2796155;0.036846951
