index;Alloy name;Al;Co;Fe;Ni;Si;Cr;Mn;Nb;Mo;Ti;Cu;V;Zr;Ta;Hf;W;PROPERTY: Microstructure;PROPERTY: Processing method;PROPERTY: Calculated Density (g/cm$^3$);PROPERTY: Type of test;PROPERTY: YS (MPa);Smix;am;Tm;Xm;rm;dX;da;dT;dr
267;Al1 Co1 Cr1 Fe1 Ni1;0.2;0.2;0.2;0.2;;0.2;;;;;;;;;;;BCC B2;ANNEAL;6.7;C;1450;13.37442905;3.168;1673;1.778;1.482;0.120565335;0.543816145;396.6126574;0.10900308
268;Al1 Co1 Cr1 Fe1 Ni1;0.2;0.2;0.2;0.2;;0.2;;;;;;;;;;;FCC BCC;ANNEAL;6.7;T;900;13.37442905;3.168;1673;1.778;1.482;0.120565335;0.543816145;396.6126574;0.10900308
269;Al0.515 Cr0.515 Fe1 Ni1;0.17;;0.33;0.33;;0.17;;;;;;;;;;;FCC BCC;CAST;6.9;T;796;11.08705789;3.2869;1686.93;1.7901;1.4893;0.116880238;0.445687548;367.8906157;0.101535463
270;Al0.343 Co0.514 Cr0.514 Fe1 Ni0.514;0.119;0.178;0.347;0.178;;0.178;;;;;;;;;;;BCC B2;CAST;7.2;T;866;12.81610971;3.0645;1739.475;1.7967;1.513;0.106672911;0.472929329;326.1151995;0.088456197
271;Co1 Cr0.429 Fe0.571 Mo0.286 Ni0.571;;0.35;0.2;0.2;;0.15;;;0.1;;;;;;;;FCC;CAST;8.6;T;350;12.68138754;2.905;1934.7;1.873;1.581;0.12996538;0.369032519;346.0908985;0.075263502
272;Co1 Cr0.429 Fe0.571 Mo0.286 Ni0.571;;0.35;0.2;0.2;;0.15;;;0.1;;;;;;;;FCC ++;WROUGHT;8.6;T;1311;12.68138754;2.905;1934.7;1.873;1.581;0.12996538;0.369032519;346.0908985;0.075263502
273;Co1 Cr0.429 Fe0.571 Mo0.286 Ni0.571;;0.35;0.2;0.2;;0.15;;;0.1;;;;;;;;FCC ++;WROUGHT;8.6;T;1212;12.68138754;2.905;1934.7;1.873;1.581;0.12996538;0.369032519;346.0908985;0.075263502
274;Co1 Cr0.429 Fe0.571 Mo0.286 Ni0.571;;0.35;0.2;0.2;;0.15;;;0.1;;;;;;;;FCC ++;WROUGHT;8.6;T;1028;12.68138754;2.905;1934.7;1.873;1.581;0.12996538;0.369032519;346.0908985;0.075263502
275;Co1 Cr0.429 Fe0.571 Mo0.286 Ni0.571;;0.35;0.2;0.2;;0.15;;;0.1;;;;;;;;FCC ++;WROUGHT;8.6;T;879;12.68138754;2.905;1934.7;1.873;1.581;0.12996538;0.369032519;346.0908985;0.075263502
276;Co1 Cr0.429 Fe0.571 Mo0.286 Ni0.571;;0.35;0.2;0.2;;0.15;;;0.1;;;;;;;;FCC ++;WROUGHT;8.6;T;799;12.68138754;2.905;1934.7;1.873;1.581;0.12996538;0.369032519;346.0908985;0.075263502
277;Co1 Cr0.429 Fe0.571 Mo0.286 Ni0.571;;0.35;0.2;0.2;;0.15;;;0.1;;;;;;;;FCC;WROUGHT;8.6;T;350;12.68138754;2.905;1934.7;1.873;1.581;0.12996538;0.369032519;346.0908985;0.075263502
278;Co1 Cr1 Fe1 Ni1;;0.25;0.25;0.25;;0.25;;;;;;;;;;;FCC;CAST;8.2;T;155;11.52010614;2.95;1858;1.82;1.5575;0.096695398;0.363386846;159.6934563;0.04120545
279;Co1 Cr1 Fe1 Mo0.304 Ni1;;0.232;0.232;0.232;;0.232;;;0.071;;;;;;;;FCC ++;CAST;8.4;T;305.3;12.82752351;2.96054;1929.84;1.84374;1.58026;0.131254848;0.353457368;307.7844635;0.068042263
280;Co1 Cr1 Fe1 Mo0.304 Ni1;;0.232;0.232;0.232;;0.232;;;0.071;;;;;;;;FCC ++;WROUGHT;8.4;T;815.5;12.82752351;2.96054;1929.84;1.84374;1.58026;0.131254848;0.353457368;307.7844635;0.068042263
281;Co1 Cr1 Fe1 Mo0.304 Ni1;;0.232;0.232;0.232;;0.232;;;0.071;;;;;;;;FCC ++;WROUGHT;8.4;T;646.7;12.82752351;2.96054;1929.84;1.84374;1.58026;0.131254848;0.353457368;307.7844635;0.068042263
282;Co1 Cr1 Fe1 Mo0.304 Ni1;;0.232;0.232;0.232;;0.232;;;0.071;;;;;;;;FCC ++;WROUGHT;8.4;T;683.7;12.82752351;2.96054;1929.84;1.84374;1.58026;0.131254848;0.353457368;307.7844635;0.068042263
283;Co1 Cr1 Fe1 Mn1 Ni1;;0.2;0.2;0.2;;0.2;0.2;;;;;;;;;;FCC;WROUGHT;8;T;243;13.37442905;4.142;1790;1.766;1.568;0.138361844;2.406054031;197.2247449;0.038981395
284;Co1 Cr1 Fe1 Mn1 Ni1;;0.2;0.2;0.2;;0.2;0.2;;;;;;;;;;FCC;WROUGHT;8;T;249;13.37442905;4.142;1790;1.766;1.568;0.138361844;2.406054031;197.2247449;0.038981395
285;Co1 Cr1 Fe1 Ni1;;0.25;0.25;0.25;;0.25;;;;;;;;;;;FCC;ANNEAL;8.2;T;190;11.52010614;2.95;1858;1.82;1.5575;0.096695398;0.363386846;159.6934563;0.04120545
286;Al0.167 Co1 Cr1 Fe1 Ni1 Ti0.083;0.039;0.235;0.235;0.235;;0.235;;;;0.02;;;;;;;FCC;ANNEAL;7.8;T;210;13.01382224;2.98956;1821.807;1.80439;1.54527;0.109040381;0.410685935;237.3096817;0.065158179
287;Al0.167 Co1 Cr1 Fe1 Ni1 Ti0.083;0.039;0.235;0.235;0.235;;0.235;;;;0.02;;;;;;;FCC ++;WROUGHT;7.8;T;645;13.01382224;2.98956;1821.807;1.80439;1.54527;0.109040381;0.410685935;237.3096817;0.065158179
288;Al0.167 Co1 Cr1 Fe1 Ni1 Ti0.083;0.039;0.235;0.235;0.235;;0.235;;;;0.02;;;;;;;FCC ++;WROUGHT;7.8;T;1005;13.01382224;2.98956;1821.807;1.80439;1.54527;0.109040381;0.410685935;237.3096817;0.065158179
289;Al0.278 Co0.694 Cr0.222 Fe0.417 Ni1 Ti0.167;0.1;0.25;0.15;0.36;;0.08;;;;0.06;;;;;;;FCC ++;ANNEAL;7.4;T;568;13.29647767;3.1375;1714.96;1.8183;1.5068;0.122434105;0.50036062;283.1034412;0.086463621
290;Al0.278 Co0.694 Cr0.222 Fe0.417 Ni1 Ti0.167;0.1;0.25;0.15;0.36;;0.08;;;;0.06;;;;;;;FCC ++;ANNEAL;7.4;T;596;13.29647767;3.1375;1714.96;1.8183;1.5068;0.122434105;0.50036062;283.1034412;0.086463621
291;Al0.885 Cr1 Fe1 Ni1;0.228;;0.257;0.257;;0.257;;;;;;;;;;;BCC B2;CAST;6.4;C;770;11.50618438;3.30865;1668.372;1.75488;1.47951;0.121381966;0.475399319;428.8668517;0.118076578
292;Al1 Cr1 Fe1 Ni1;0.25;;0.25;0.25;;0.25;;;;;;;;;;;BCC B2;CAST;6.3;C;843.2;11.52010614;3.3325;1649.25;1.7525;1.4725;0.122142335;0.484116463;440.2348095;0.121804067
293;Al1 Cr0.889 Fe0.889 Ni0.889;0.273;;0.242;0.242;;0.242;;;;;;;;;;;BCC B2;CAST;6.1;C;1044;11.50513629;3.3511;1625.397;1.74633;1.46196;0.122696221;0.491849488;450.574582;0.125589435
294;Al1 Cr0.828 Fe0.828 Ni0.828;0.287;;0.238;0.238;;0.238;;;;;;;;;;;BCC B2;CAST;6;C;906.8;11.49431204;3.3705;1615.803;1.74727;1.45964;0.123093459;0.496444378;456.5235454;0.127461494
295;Al1 Cr0.767 Fe0.767 Ni0.767;0.303;;0.232;0.232;;0.232;;;;;;;;;;;BCC B2;CAST;5.9;C;1122.8;11.45664194;3.3794;1596.747;1.74063;1.45026;0.123235183;0.500519026;462.266659;0.129913081
296;Co1 Cr1 Fe1 Mn1 Ni1;;0.2;0.2;0.2;;0.2;0.2;;;;;;;;;;FCC;ANNEAL;8;C;230;13.37442905;4.142;1790;1.766;1.568;0.138361844;2.406054031;197.2247449;0.038981395
297;Co1 Cr1 Fe1 Mn1 Ni1 V0.263;;0.19;0.19;0.19;;0.19;0.19;;;;;0.05;;;;;FCC ++;ANNEAL;7.9;C;200;14.35536927;4.0864;1808.65;1.7592;1.5751;0.13807737;2.357621055;208.7135537;0.042622132
298;Co1 Cr1 Fe1 Mn1 Ni1 V0.5;;0.182;0.182;0.182;;0.182;0.182;;;;;0.091;;;;;FCC ++;ANNEAL;7.8;C;620;14.69647378;4.04495;1825.733;1.75539;1.58249;0.137674406;2.31741011;216.5869541;0.044996532
299;Co1 Cr1 Fe1 Mn1 Ni1 V0.765;;0.173;0.173;0.173;;0.173;0.173;;;;;0.133;;;;;FCC ++;ANNEAL;7.7;C;780;14.84104593;3.98582;1836.029;1.74438;1.58375;0.136762175;2.269399702;222.9307228;0.047107411
300;Co1 Cr1 Fe1 Mn1 Ni1 V1;;0.167;0.167;0.167;;0.167;0.167;;;;;0.167;;;;;FCC ++;ANNEAL;7.7;C;1700;14.90266362;3.96458;1855.871;1.74682;1.59485;0.136277099;2.237418962;227.7177303;0.048308368
301;Al0.511 Co0.511 Cr0.511 Fe0.511 Ni1;0.168;0.168;0.168;0.329;;0.168;;;;;;;;;;;FCC ++;CAST;7;T;545;13.00063136;3.22784;1683.206;1.80103;1.48477;0.120696098;0.514945323;364.0270375;0.099741266
302;Al0.465 Co0.465 Cr0.465 Fe0.465 Ni1;0.163;0.163;0.163;0.35;;0.163;;;;;;;;;;;FCC ++;CAST;7.1;T;545;12.88190484;3.24016;1686.257;1.80624;1.48646;0.120457745;0.509816289;358.6633607;0.098152624
303;Al0.451 Co0.451 Cr0.451 Fe0.451 Ni1;0.161;0.161;0.161;0.357;;0.161;;;;;;;;;;;FCC ++;CAST;7.1;T;545;12.82970055;3.24016;1685.061;1.80565;1.48505;0.120212934;0.507550994;356.4735416;0.097627203
304;Al0.108 Co0.514 Cr0.514 Cu0.108 Fe0.514 Ni1;0.039;0.186;0.186;0.363;;0.186;;;;;0.039;;;;;;FCC;WROUGHT;8;T;719;12.95906974;3.11619;1777.125;1.82904;1.52508;0.101217049;0.436405252;242.9162245;0.061956588
305;Al0.108 Co0.514 Cr0.514 Cu0.108 Fe0.514 Ni1;0.039;0.186;0.186;0.363;;0.186;;;;;0.039;;;;;;FCC ++;WROUGHT;8;T;460;12.95906974;3.11619;1777.125;1.82904;1.52508;0.101217049;0.436405252;242.9162245;0.061956588
306;Al0.242 Co0.515 Cr0.515 Cu0.242 Fe0.515 Ni1;0.08;0.17;0.17;0.33;;0.17;;;;;0.08;;;;;;OTHER;CAST;7.7;T;357;13.90822461;3.1812;1722.72;1.824;1.5079;0.108064795;0.467140835;300.7305133;0.076752437
307;Al0.242 Co0.515 Cr0.515 Cu0.242 Fe0.515 Ni1;0.08;0.17;0.17;0.33;;0.17;;;;;0.08;;;;;;OTHER;ANNEAL;7.7;T;365;13.90822461;3.1812;1722.72;1.824;1.5079;0.108064795;0.467140835;300.7305133;0.076752437
308;Al0.242 Co0.515 Cr0.515 Cu0.242 Fe0.515 Ni1;0.08;0.17;0.17;0.33;;0.17;;;;;0.08;;;;;;FCC ++;ANNEAL;7.7;T;215;13.90822461;3.1812;1722.72;1.824;1.5079;0.108064795;0.467140835;300.7305133;0.076752437
309;Al0.5 Co1 Cr1 Cu1 Fe1 Ni1;0.091;0.182;0.182;0.182;;0.182;;;;;0.182;;;;;;OTHER;WROUGHT;7.6;T;1284;14.69647378;3.17226;1684.319;1.81727;1.50514;0.109395235;0.485273043;333.9337296;0.081824768
310;Al0.5 Co1 Cr1 Cu1 Fe1 Ni1;0.091;0.182;0.182;0.182;;0.182;;;;;0.182;;;;;;FCC;WROUGHT;7.6;T;1290;14.69647378;3.17226;1684.319;1.81727;1.50514;0.109395235;0.485273043;333.9337296;0.081824768
311;Al0.5 Co1 Cr1 Cu1 Fe1 Ni1;0.091;0.182;0.182;0.182;;0.182;;;;;0.182;;;;;;OTHER;WROUGHT;7.6;T;650;14.69647378;3.17226;1684.319;1.81727;1.50514;0.109395235;0.485273043;333.9337296;0.081824768
312;Al1 Co1 Cr1 Cu1 Fe1 Ni1;0.167;0.167;0.167;0.167;;0.167;;;;;0.167;;;;;;BCC ++;CAST;7.1;T;790;14.90266362;3.24815;1623.407;1.80193;1.47962;0.119255518;0.523612294;381.2375584;0.100111055
313;Al1 Co1 Cr1 Cu1 Fe1 Ni1;0.167;0.167;0.167;0.167;;0.167;;;;;0.167;;;;;;BCC ++;WROUGHT;7.1;T;1040;14.90266362;3.24815;1623.407;1.80193;1.47962;0.119255518;0.523612294;381.2375584;0.100111055
314;Co1 Cr1 Fe1 Ni1 Ti0.2;;0.238;0.238;0.238;;0.238;;;;0.048;;;;;;;FCC;WROUGHT;7.9;T;700;12.56751174;2.95;1862.176;1.80656;1.56722;0.111730776;0.354558317;156.9196515;0.048572666
315;Al0.1 Co1 Cr1 Fe1 Ni1;0.024;0.244;0.244;0.244;;0.244;;;;;;;;;;;FCC;WROUGHT;8;T;1198;12.18450259;2.97616;1835.8;1.81496;1.54844;0.100789873;0.395867218;211.9719604;0.05539678
316;Al0.1 Co1 Cr1 Fe1 Ni1;0.024;0.244;0.244;0.244;;0.244;;;;;;;;;;;FCC;WROUGHT;8;T;1403;12.18450259;2.97616;1835.8;1.81496;1.54844;0.100789873;0.395867218;211.9719604;0.05539678
317;Al0.1 Co1 Cr1 Fe1 Ni1;0.024;0.244;0.244;0.244;;0.244;;;;;;;;;;;FCC;WROUGHT;8;T;711;12.18450259;2.97616;1835.8;1.81496;1.54844;0.100789873;0.395867218;211.9719604;0.05539678
318;Al0.1 Co1 Cr1 Fe1 Ni1;0.024;0.244;0.244;0.244;;0.244;;;;;;;;;;;FCC;WROUGHT;8;T;356;12.18450259;2.97616;1835.8;1.81496;1.54844;0.100789873;0.395867218;211.9719604;0.05539678
319;Co1 Cr1 Fe1 Mn1 Ni1;;0.2;0.2;0.2;;0.2;0.2;;;;;;;;;;FCC;WROUGHT;8;T;1120;13.37442905;4.142;1790;1.766;1.568;0.138361844;2.406054031;197.2247449;0.038981395
320;Al0.5 Cr0.5 Fe0.5 Ni1;0.2;;0.2;0.4;;0.2;;;;;;;;;;;FCC BCC;CAST;6.7;T;774;11.07040782;3.37;1664.6;1.784;1.476;0.126111062;0.439454207;394.9529592;0.108789953
321;Al0.429 Cr0.476 Fe0.476 Ni1;0.18;;0.2;0.42;;0.2;;;;;;;;;;;FCC BCC;CAST;6.9;T;610;10.94251759;3.3596;1680.46;1.79;1.4822;0.12481987;0.42951582;380.9290333;0.104513674
322;Al0.364 Cr0.455 Fe0.455 Ni1;0.16;;0.2;0.44;;0.2;;;;;;;;;;;FCC BCC;CAST;7;T;479;10.78820523;3.3492;1696.32;1.796;1.4884;0.123223374;0.419083953;365.6814701;0.099955063
323;Al0.304 Cr0.435 Fe0.435 Ni1;0.14;;0.2;0.46;;0.2;;;;;;;;;;;FCC BCC;CAST;7.2;T;461;10.60550627;3.3388;1712.18;1.802;1.4946;0.121309521;0.408120766;349.04995;0.095076618
324;Al0.25 Cr0.417 Fe0.417 Ni1;0.12;;0.2;0.48;;0.2;;;;;;;;;;;FCC;CAST;7.3;T;441;10.39175466;3.3284;1728.04;1.808;1.5008;0.119063009;0.396582198;330.8258128;0.089829439
325;Co1 Cr1 Ni1;;0.333;;0.333;;0.333;;;;;;;;;;;FCC;WROUGHT;8.3;T;1100;9.128644494;2.97702;1872.792;1.81485;1.55511;0.111414079;0.415094051;181.2792731;0.047627709
326;Co1 Cr1 Ni1;;0.333;;0.333;;0.333;;;;;;;;;;;FCC;WROUGHT;8.3;T;597;9.128644494;2.97702;1872.792;1.81485;1.55511;0.111414079;0.415094051;181.2792731;0.047627709
327;Co1 Cr1 Ni1;;0.333;;0.333;;0.333;;;;;;;;;;;FCC;WROUGHT;8.3;T;346;9.128644494;2.97702;1872.792;1.81485;1.55511;0.111414079;0.415094051;181.2792731;0.047627709
328;Al0.476 Co0.476 Cr0.476 Fe0.476 Ni1;0.164;0.164;0.164;0.344;;0.164;;;;;;;;;;;FCC ++;WROUGHT;7.1;T;1263;12.90594665;3.23136;1682.54;1.80176;1.48344;0.120379826;0.510677736;359.7247842;0.098632434
329;Al0.476 Co0.476 Cr0.476 Fe0.476 Ni1;0.164;0.164;0.164;0.344;;0.164;;;;;;;;;;;FCC ++;WROUGHT;7.1;T;1154;12.90594665;3.23136;1682.54;1.80176;1.48344;0.120379826;0.510677736;359.7247842;0.098632434
330;Al0.476 Co0.476 Cr0.476 Fe0.476 Ni1;0.164;0.164;0.164;0.344;;0.164;;;;;;;;;;;FCC ++;WROUGHT;7.1;T;1490;12.90594665;3.23136;1682.54;1.80176;1.48344;0.120379826;0.510677736;359.7247842;0.098632434
331;Co1 Cr1 Fe1 Mn1 Ni1;;0.2;0.2;0.2;;0.2;0.2;;;;;;;;;;FCC;CAST;8;C;210;13.37442905;4.142;1790;1.766;1.568;0.138361844;2.406054031;197.2247449;0.038981395
332;Co1 Cr1 Fe1 Mn1 Ni1;;0.2;0.2;0.2;;0.2;0.2;;;;;;;;;;FCC;WROUGHT;8;C;1150;13.37442905;4.142;1790;1.766;1.568;0.138361844;2.406054031;197.2247449;0.038981395
333;Co1 Cr1 Fe1 Mn1 Ni1;;0.2;0.2;0.2;;0.2;0.2;;;;;;;;;;FCC;WROUGHT;8;C;1300;13.37442905;4.142;1790;1.766;1.568;0.138361844;2.406054031;197.2247449;0.038981395
334;Nb1 Ta1 Ti1 V1;;;;;;;;0.25;;0.25;;0.25;;0.25;;;BCC;POWDER;9.2;C;1108;11.52010614;3.145;2535.75;1.5675;1.8625;0.050682837;0.157559513;525.3319784;0.069215426
335;Nb1 Ta1 Ti1 V1;;;;;;;;0.25;;0.25;;0.25;;0.25;;;BCC;POWDER;9.2;C;1308;11.52010614;3.145;2535.75;1.5675;1.8625;0.050682837;0.157559513;525.3319784;0.069215426
336;Nb1 Ta1 Ti1 V1;;;;;;;;0.25;;0.25;;0.25;;0.25;;;BCC;POWDER;9.2;C;1373;11.52010614;3.145;2535.75;1.5675;1.8625;0.050682837;0.157559513;525.3319784;0.069215426
337;Co1 Cr1 Fe1 Mn1 Ni1;;0.2;0.2;0.2;;0.2;0.2;;;;;;;;;;FCC;WROUGHT;8;T;300;13.37442905;4.142;1790;1.766;1.568;0.138361844;2.406054031;197.2247449;0.038981395
338;Co1 Cr1 Fe1 Mn1 Ni1;;0.2;0.2;0.2;;0.2;0.2;;;;;;;;;;FCC;WROUGHT;8;T;800;13.37442905;4.142;1790;1.766;1.568;0.138361844;2.406054031;197.2247449;0.038981395
339;Co1 Cr1 Fe1 Mn1 Ni1;;0.2;0.2;0.2;;0.2;0.2;;;;;;;;;;FCC BCC;CAST;8;C;1314;13.37442905;4.142;1790;1.766;1.568;0.138361844;2.406054031;197.2247449;0.038981395
340;Al0.1 Co1 Cr1 Fe1 Mn1 Ni1;0.02;0.196;0.196;0.196;;0.196;0.196;;;;;;;;;;FCC BCC;CAST;7.9;C;1631;13.9216455;4.13996;1772.86;1.76288;1.56024;0.138701498;2.381914776;229.1611843;0.052116246
341;Al0.3 Co1 Cr1 Fe1 Mn1 Ni1;0.057;0.189;0.189;0.189;;0.189;0.189;;;;;;;;;;FCC BCC;CAST;7.6;C;1836;14.44000395;4.14447;1744.731;1.76064;1.54902;0.139325866;2.339086057;276.1385796;0.069628685
342;Al0.5 Co1 Cr1 Fe1 Mn1 Ni1;0.091;0.182;0.182;0.182;;0.182;0.182;;;;;;;;;;FCC BCC;CAST;7.4;C;1932;14.69647378;4.13686;1713.803;1.75357;1.53426;0.139417943;2.295420474;310.0946838;0.08207307
343;Al0.7 Co1 Cr1 Fe1 Mn1 Ni1;0.123;0.175;0.175;0.175;;0.175;0.175;;;;;;;;;;FCC BCC;CAST;7.1;C;2230;14.81551147;4.12117;1681.009;1.74328;1.51714;0.139239331;2.250921822;336.5266801;0.092073846
344;Co1 Cr1 Fe1 Mn1 Ni1;;0.2;0.2;0.2;;0.2;0.2;;;;;;;;;;FCC;CAST;8;C;216;13.37442905;4.142;1790;1.766;1.568;0.138361844;2.406054031;197.2247449;0.038981395
345;Co1 Cr1 Fe1 Mn1 Mo0.042 Ni1;;0.198;0.198;0.198;;0.198;0.198;;0.008;;;;;;;;FCC;CAST;8.1;C;225;13.64435417;4.1257;1795.268;1.76578;1.56752;0.142566594;2.395671286;219.6109874;0.043188873
346;Co1 Cr1 Fe1 Mn1 Mo0.087 Ni1;;0.197;0.197;0.197;;0.197;0.197;;0.017;;;;;;;;FCC ++;CAST;8.1;C;330;13.87313357;4.13325;1812.382;1.77657;1.57678;0.147423665;2.391465293;242.4241141;0.047170028
347;Co1 Cr1 Fe1 Mn1 Mo0.136 Ni1;;0.195;0.195;0.195;;0.195;0.195;;0.026;;;;;;;;FCC ++;CAST;8.1;C;560;14.0337448;4.12009;1820.546;1.77853;1.5782;0.151687534;2.381136626;262.500525;0.050834905
348;Co1 Cr1 Fe1 Mn1 Mo0.19 Ni1;;0.193;0.193;0.193;;0.193;0.193;;0.037;;;;;;;;FCC ++;CAST;8.1;C;765;14.2057023;4.11321;1834.502;1.78485;1.58342;0.156825242;2.371143519;284.8474735;0.054849698
349;Al0.3 Co1 Cr1 Fe1 Ni1;0.07;0.233;0.233;0.233;;0.233;;;;;;;;;;;FCC ++;WROUGHT;7.6;T;143;12.82904684;3.0322;1796.966;1.80894;1.53419;0.107696816;0.447732324;281.9402604;0.074678801
350;Al0.3 Co1 Cr1 Fe1 Ni1;0.07;0.233;0.233;0.233;;0.233;;;;;;;;;;;FCC ++;WROUGHT;7.6;T;471;12.82904684;3.0322;1796.966;1.80894;1.53419;0.107696816;0.447732324;281.9402604;0.074678801
351;Al0.3 Co1 Cr1 Fe1 Ni1;0.07;0.233;0.233;0.233;;0.233;;;;;;;;;;;FCC ++;WROUGHT;7.6;T;841;12.82904684;3.0322;1796.966;1.80894;1.53419;0.107696816;0.447732324;281.9402604;0.074678801
352;Al0.3 Co1 Cr1 Fe1 Ni1;0.07;0.233;0.233;0.233;;0.233;;;;;;;;;;;FCC BCC;WROUGHT;7.6;T;161;12.82904684;3.0322;1796.966;1.80894;1.53419;0.107696816;0.447732324;281.9402604;0.074678801
353;Al0.3 Co1 Cr1 Fe1 Ni1;0.07;0.233;0.233;0.233;;0.233;;;;;;;;;;;FCC BCC;WROUGHT;7.6;T;187;12.82904684;3.0322;1796.966;1.80894;1.53419;0.107696816;0.447732324;281.9402604;0.074678801
354;Al1 Co1 Cr1 Ni1;0.25;0.25;;0.25;;0.25;;;;;;;;;;;BCC B2;CAST;6.4;C;1750;11.52010614;3.245;1639.25;1.765;1.4625;0.131624466;0.583116626;436.9573063;0.11984113
355;Co1 Cr1 Fe1 Mn1 Ni1;;0.2;0.2;0.2;;0.2;0.2;;;;;;;;;;FCC;WROUGHT;8;T;378.7;13.37442905;4.142;1790;1.766;1.568;0.138361844;2.406054031;197.2247449;0.038981395
356;Co1 Cr0.588 Fe0.176 Mo0.176 Ni1;;0.34;0.06;0.34;;0.2;;;0.06;;;;;;;;FCC;WROUGHT;8.6;T;1100;11.57655661;2.9922;1896.2;1.8612;1.563;0.123217531;0.421285129;294.6393728;0.067518865
357;Co1 Cr0.588 Fe0.176 Mo0.176 Ni1;;0.34;0.06;0.34;;0.2;;;0.06;;;;;;;;FCC;WROUGHT;8.6;T;950;11.57655661;2.9922;1896.2;1.8612;1.563;0.123217531;0.421285129;294.6393728;0.067518865
358;Co1 Cr0.588 Fe0.176 Mo0.176 Ni1;;0.34;0.06;0.34;;0.2;;;0.06;;;;;;;;FCC;WROUGHT;8.6;T;649;11.57655661;2.9922;1896.2;1.8612;1.563;0.123217531;0.421285129;294.6393728;0.067518865
359;Co1 Cr0.588 Fe0.176 Mo0.176 Ni1;;0.34;0.06;0.34;;0.2;;;0.06;;;;;;;;FCC;WROUGHT;8.6;T;439;11.57655661;2.9922;1896.2;1.8612;1.563;0.123217531;0.421285129;294.6393728;0.067518865
360;Co1 Cr0.588 Fe0.176 Mo0.176 Ni1;;0.34;0.06;0.34;;0.2;;;0.06;;;;;;;;FCC;WROUGHT;8.6;T;309;11.57655661;2.9922;1896.2;1.8612;1.563;0.123217531;0.421285129;294.6393728;0.067518865
361;Co1 Cr1 Fe1 Mn1 Ni1;;0.2;0.2;0.2;;0.2;0.2;;;;;;;;;;FCC;WROUGHT;8;T;386.2;13.37442905;4.142;1790;1.766;1.568;0.138361844;2.406054031;197.2247449;0.038981395
362;Cr1 Cu1 Fe1 Mn1 Ni1;;;0.2;0.2;;0.2;0.2;;;;0.2;;;;;;OTHER;CAST;8.1;T;628;13.37442905;4.362;1707.6;1.77;1.554;0.141844986;2.294475103;263.9739381;0.049277194
363;Cr1 Cu1 Fe1 Mn1 Ni1;;;0.2;0.2;;0.2;0.2;;;;0.2;;;;;;OTHER;ANNEAL;8.1;T;545;13.37442905;4.362;1707.6;1.77;1.554;0.141844986;2.294475103;263.9739381;0.049277194
364;Cr1 Cu1 Fe1 Mn1 Ni1;;;0.2;0.2;;0.2;0.2;;;;0.2;;;;;;OTHER;ANNEAL;8.1;T;534;13.37442905;4.362;1707.6;1.77;1.554;0.141844986;2.294475103;263.9739381;0.049277194
365;Cr1 Cu1 Fe1 Mn1 Ni1;;;0.2;0.2;;0.2;0.2;;;;0.2;;;;;;OTHER;ANNEAL;8.1;T;525;13.37442905;4.362;1707.6;1.77;1.554;0.141844986;2.294475103;263.9739381;0.049277194
366;Cr1 Cu1 Fe1 Mn1 Ni1;;;0.2;0.2;;0.2;0.2;;;;0.2;;;;;;OTHER;ANNEAL;8.1;T;517;13.37442905;4.362;1707.6;1.77;1.554;0.141844986;2.294475103;263.9739381;0.049277194
367;Cr1 Cu1 Fe1 Mn1 Ni1;;;0.2;0.2;;0.2;0.2;;;;0.2;;;;;;OTHER;ANNEAL;8.1;T;502;13.37442905;4.362;1707.6;1.77;1.554;0.141844986;2.294475103;263.9739381;0.049277194
368;Cr1 Mo1 Nb1 Ta1 V1 W1;;;;;;0.167;;0.167;0.167;;;0.167;;0.167;;0.167;BCC ++;POWDER;11.7;C;3416;14.90266362;3.14628;2825.473;1.82531;1.86706;0.325328168;0.139684349;564.64915;0.070251192
369;Cr1 Mo1 Nb1 Ta1 V1 W1;;;;;;0.167;;0.167;0.167;;;0.167;;0.167;;0.167;BCC ++;POWDER;11.7;C;3410;14.90266362;3.14628;2825.473;1.82531;1.86706;0.325328168;0.139684349;564.64915;0.070251192
370;Cr1 Mo1 Nb1 Ta1 V1 W1;;;;;;0.167;;0.167;0.167;;;0.167;;0.167;;0.167;BCC ++;POWDER;11.7;C;3338;14.90266362;3.14628;2825.473;1.82531;1.86706;0.325328168;0.139684349;564.64915;0.070251192
371;Al0.3 Co1 Cr1 Fe1 Ni1;0.07;0.233;0.233;0.233;;0.233;;;;;;;;;;;FCC ++;WROUGHT;7.6;T;840;12.82904684;3.0322;1796.966;1.80894;1.53419;0.107696816;0.447732324;281.9402604;0.074678801
372;Al0.3 Co1 Cr1 Fe1 Ni1;0.07;0.233;0.233;0.233;;0.233;;;;;;;;;;;FCC;WROUGHT;7.6;T;159;12.82904684;3.0322;1796.966;1.80894;1.53419;0.107696816;0.447732324;281.9402604;0.074678801
373;Co0.5 Cr0.5 Fe1 Ni1;;0.167;0.333;0.333;;0.167;;;;;;;;;;;FCC;WROUGHT;8.2;T;214;11.05331754;3.02968;1827.788;1.8366;1.54671;0.085623828;0.370322154;139.3913737;0.037656217
374;Co0.875 Cr0.625 Fe1 Ni1;;0.25;0.286;0.286;;0.179;;;;;;;;;;;FCC;WROUGHT;8.3;T;241;11.38909125;2.97307;1833.994;1.83678;1.54944;0.087220367;0.378851977;142.483269;0.037892135
